,s0,s1,s2,s3,s4,s5,q0,q1,q2,q3,q4,q5
190,1,1,1,1,0,0,0,0,0,0,0,0
191,1,1,1,1,0,0,0,0,0,0,0,0
192,1,1,1,1,0,0,0,0,0,0,0,0
193,1,1,1,1,0,0,0,0,0,0,0,0
194,1,1,1,1,0,0,0,0,0,0,0,0
195,1,1,1,1,0,0,0,0,0,0,0,0
196,0,0,0,1,0,0,0,0,0,0,0,0
197,0,0,0,1,0,0,0,0,0,0,1,0
198,0,0,0,0,1,0,0,0,0,0,0,0
199,0,0,0,0,1,0,0,0,0,0,0,0
200,0,0,0,0,1,0,0,0,0,0,0,0
201,0,0,0,0,1,0,0,0,0,0,0,0
202,0,0,0,0,1,0,0,0,0,0,0,0
203,0,0,0,0,1,0,1,1,1,0,0,0
204,1,1,1,0,1,0,0,0,0,0,0,0
205,1,1,1,0,1,0,0,0,0,0,0,0
206,1,1,1,0,1,0,0,0,0,0,0,0
207,1,1,1,0,1,0,0,0,0,0,0,0
208,1,1,1,0,0,0,0,0,0,0,0,0
209,1,1,1,0,0,0,0,0,0,0,0,0
210,1,1,1,0,0,0,0,0,0,0,0,0
211,1,1,1,0,0,0,0,0,0,0,0,0
212,1,1,1,0,0,0,0,0,0,0,0,0
213,1,1,1,0,0,0,0,0,0,0,0,0
214,0,0,0,0,0,0,0,0,0,0,0,0
215,0,0,0,0,0,0,0,0,0,0,0,0
216,0,0,0,0,0,0,0,0,0,0,0,0
217,0,0,0,0,0,0,0,0,0,0,0,0
218,0,0,0,0,0,0,0,0,0,0,0,0
219,0,0,0,0,0,0,0,0,0,1,0,0
220,0,0,0,1,0,0,0,0,0,0,0,0
221,0,0,0,1,0,0,1,1,0,0,0,0
222,1,1,0,1,0,0,0,0,0,0,0,0
223,1,1,0,1,0,0,0,0,0,0,0,0
224,1,1,0,1,0,0,0,0,0,0,0,0
225,1,1,0,1,0,0,0,0,0,0,0,0
226,1,1,0,1,0,0,0,0,1,0,0,1
227,1,1,1,1,0,1,0,0,0,0,0,0
228,1,1,1,1,0,1,0,0,0,0,0,0
229,1,1,1,1,0,1,0,0,0,0,0,0
